ID,Name,Straße,Hausnummer,PLZ,Ort,Breitengrad,Längengrad,Telefon,Email,Website,Rabatt,discount,Kategorie
,Académie de Ballett et Danse,Meuschelstr.,10,90408,Nürnberg,49.4622598,11.0765467,0911/9944884,info@academie-ballettschule-uliczay.de,https://www.academie-ballettschule-uliczay.de/kontakt/,20% Ermäßigung für Erwachsene,20% discount for adults,17
,Admira-Apotheke,Fürther Str.,187,90429,Nürnberg,49.4565929,11.0365767,0911/3224633,info@admira-apotheke.com,https://www.admira-apotheke-nuernberg.de,"10 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“). Außer Angebotspreise",10% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”). Except special offers,15
,AfB Shop,Peter-Henlein-Str.,27,90443,Nürnberg,49.441456,11.0740208,0911/47776960,info@afb-group.eu,https://www.afbshop.de/nuernberg,"10% Ermäßigung für PC, Notebooks (gebraucht mit Garantie)","10% discount for PC, notebooks (used with warranty)",16
,Ahorn Apotheke,Leipziger Platz,13,90491,Nürnberg,49.4718522,11.1039756,0911/9518082,kontakt(at)ihre-ahornapotheke.de,http://www.ihre-ahornapotheke.de/a/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",20% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”).,15
,"Airtime Trampolinpark Nürnberg, Trampolinhalle Nürnberg GmbH ",Klingenhofstr.,70,90411,Nürnberg,,,0911/3104100 ,,www.airtimetrampolin.de ,"Easy ( 1 Stunde) 08,00€ / Medium (1,5 Stunden)  12,00€ / Pro (2 Stunden) 15,00€ 
Für die Sprungsocken, die  in der Halle verpflichtend sind, kann kein Rabatt angeboten werden. Sie kosten 2,90€ und können immer wieder verwendet werden. Der Aktionscode „NBGPASS“ muss auf der Website unter dem Bereich „jetzt Buchen“ eingeben werden.  Vor Ort muss der gültige Nürnberg-Pass der buchenden Person vorgezeigt werden.

","Easy (1 hour) €8.00 / Medium (1.5 hours) €12.00 / Pro (2 hours) €15.00 
No discount can be offered for trampoline socks, which are compulsory in the hall. They cost €2.90 and can be used again and again. The promotional code “NBGPASS” must be entered on the website in the “Book now” section.  The person making the booking must present a valid Nürnberg-Pass on site.

",17
,Albrecht-Dürer-Haus,Albrecht-Dürer-Str.,39,90403,Nürnberg,49.4571985,11.0739812,0911/2312568,Kontaktformular Nürnberg online (nuernberg.de),https://museen.nuernberg.de/duererhaus/,"1,50 € für alle Altersgruppen",€1.50 for all age groups,12
,Allgemeiner Deutscher Fahrrad-Club (ADFC) Kreisverband Nürnberg und Umgebung e. V.,Heroldstr.,2,90408,Nürnberg,49.4671406,11.0699944,,kontakt@adfc-nuernberg.de,https://www.adfc-nuernberg.de/impressum/,50% Ermäßigung auf Tourenvorträge,50% discount on tour presentations,12
,Apotheke im Village,Sankt-Gallen-Ring,247,90431,Nürnberg,49.4419795,11.0274021,0911/47891405,kontakt@apotheke-im-village.de,https://www.apotheke-im-village.de/impressum,"10 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“) - außer Angebotspreise",10% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”) – except special offers,15
,Apotheke Sebalder Höfe,Äußerer Laufer Platz,20,90403,Nürnberg,49.4573265,11.0876352,0911/221999,Info@apotheke-sebalder-hoefe.de,https://www.apotheke-sebalder-hoefe.de/apotheke-sebalder-hoefe/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“), außer Angebotspreise","20% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”), except special offers",15
,Aura Nürnberg e.V.,Gleißbühlstr.,10,90402,Nürnberg,49.4490964,11.0844159,0911/284629,info@aura-nuernberg.de,https://www.aura-nuernberg.de/,Ermäßigung laut Programm,Discount according to programme,17
,Ballettförderzentrum Nürnberg e. V.,Gleißbühlstraße,12,90402,Nürnberg,49.448913,11.084171,0911/992399,info@tanzhaus-nuernberg.de,http://www.ballettfoerderzentrum.com/,50% Ermäßigung,50% discount,17
,Bayerisches Rotes Kreuz Seniorentreff,Nunnenbeckstr.,47,90489,Nürnberg,49.4570906,11.0957342,0911/5301295,,https://www.kvnuernberg-stadt.brk.de/angebote/senioren/seniorentreff-woehrd.html,"Mittagstisch für Seniorinnen und Senioren                                Mittagessen: Mo-Fr 12:00-13:00 Uhr -  Kosten: 3,50 € pro Essen",Lunch for senior citizens                                Lunch: Mon-Fri 12 noon to 1 p.m. – Costs: €3.50 per meal,10
,Bildungszentrum,Gewerbemuseumsplatz,1,90403,Nürnberg,49.45191395,11.083874104692663,0911/2313147,bz-info(at)stadt.nuernberg.de,https://bz.nuernberg.de/,"50 % Ermäßigung (ausgenommen Filmveranstaltungen, Lehrgänge, Reisen, Tagesfahrten, u.ä.)","50% discount (except for film events, training courses, trips, day trips, etc.)",13
,Bindergass-Apotheke,Theresienplatz,2 - 4,90403,Nürnberg,49.4558122,11.0807419,0911/203043,info@bindergass-apotheke.de,https://www.bindergass-apotheke.de/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“)",20% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”).,15
,Body&Art,Zerzabelshofstr.,43,90480,Nürnberg,49.4445901,11.1121587,0911/94185168,info@body-and-art.de,https://www.body-and-art.de/,"*Selbstverteidigung für Frauen:
10er Karte: 20% Ermäßigung.
*Selbstverteidigung für Kinder (ab 6J.):
10er Karte: 20% Ermäßigung.
*Hip Hop & Dance Mix (ab 3J.):
10er-Karte: 20% Ermäßigung","*Self-defence for women:
10 prepaid classes: 20% discount.
*Self-defence for children (aged 6 and above):
10 prepaid classes: 20% discount.
*Hip hop & dance mix (aged 3 and above):
10 prepaid classes: 20% discount",17
,"Café Lichtblick, Familien-Bildungsstätte gGmbH Nürnberg",Leonhardstraße,13,90443,Nürnberg,49.4454747,11.0633295,0911/2747660,info@fbs-nuernberg.de,https://www.fbs-nuernberg.de/begegnung/cafelichtblick/,"Offener, kostenfreier Treff für Senioren, donnerstags 14:30 – 16:30 Uhr mit schönen Highlights - mit und ohne Nürnberg-Pass","Open, free meeting place for senior citizens, Thursdays 2.30 to 4.30 p.m. with great highlights – with and without the Nürnberg-Pass",12
,Caritas-Pirckheimer-Haus,Königstr.,64,90402,Nürnberg,49.4485862,11.0788308,0911/23460,akademie@cph-nuernberg.de,https://www.cph-nuernberg.de/,Ermäßigung der Eintrittspreise bei Veranstaltung,Reduced admission prices for events,13
,Casablanca Filmkunsttheater Nürnberg,Brosamer Str.,12,90459,Nürnberg,49.43811,11.0812718,0911/454824,info@casablanca-nuernberg.de,https://www.casablanca-nuernberg.de/,"Eintritt: 4,- € und montags von 17 -20 Uhr: „Kassa blanco - Zahl so viel Du kannst“",Admission: €4.00 and Mondays from 5 to 8 p.m.: “Kassa blanco – pay as much as you can”,14
,CCN 50+ e.V.,Spitalgasse,22,90403,Nürnberg,49.4531723,11.0794939,0911/9928352,info@ccn50plus.de,https://www.ccn50plus.de/ccnweb1/,Mitgliedertarife z. B. bei einem Smartphone- oder Tabletkurs bei 2 Einheiten statt  30 € / 20 € oder bei 4 Einheiten statt 55  € / 35 €  + kostenlose Vorträge,Member rates e.g. for a smartphone or tablet course with 2 sessions €20.00 instead of €30.00 or with 4 sessions €35.00 instead of €55.00 + free lectures,16
,Center Apotheke im Franken Center,Glogauer Str.,30-38,90473,Nürnberg,49.403575399999994,11.134302152075524,0911/803016,info@centerapotheke.de,http://www.centerapotheke.de/,"10 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",10% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”).,15
,Deutsch Amerikanisches Institut,Gleißbühlstr.,9,90402,Nürnberg,49.44895,11.0846332,0911/230690,mail@dai-nuernberg.de,https://www.dai-nuernberg.de/,Ermäßigung der Eintrittspreise bei Veranstaltung,Reduced admission prices for events,9
,Deutsches Museum/Zukunftsmuseum,Augustinerhof,4,90403,Nürnberg,49.4536382,11.0747807,0911/21548880,besucherservice-dmn@deutsches-museum.de,https://www.deutsches-museum.de/nuernberg,"6,00 €  Für Kinder bis einschließlich 5 Jahre feier Eintritt",€6.00 Free admission for children aged up to and including 5,12
,Deutschlandticket Nürnberg-Pass,Bahnhofsplatz,9,90443,Nürnberg,49.4459599,11.0805896,0911/2834646,,https://meinabo.vag.de/abo/new.aspx?produkt=16220412_1,Das ermäßigte Deutschlandticket für Nürnberg-Pass Inhaberinnen und Inhaber kann für 19 Euro pro Monat  bei der VAG bestellt werden. Aufgrund der bundesweiten Rahmenbedingungen wird es als digitales Abonnement angeboten. Es kann nur digital im VGN Onlineshop MeinAbo (vag.de) bestellt werden. Bei der Bestellung ist die persönliche Nürnberg-Pass-ID einzugeben. Das Deutschlandticket Nürnberg-Pass ist nicht übertragbar und nur für eine Person gültig.,"The discounted Deutschlandticket for Nürnberg-Pass holders can be ordered from the VAG for 19 euros per month. Due to the nationwide framework conditions, it is offered as a digital subscription. It can only be ordered digitally in the VGN online shop MeinAbo (vag.de). The personal Nürnberg-Pass ID must be entered during the ordering process. The Deutschlandticket Nürnberg-Pass is non-transferable and only valid for one person.",18
,"Digitale Hilfen
Stadtbibliothek Maxfeld",Maxfeldstraße,27,90409,Nürnberg,49.4617067,11.084754260320988,0911/2312460    ,,https://www.nuernberg.de/internet/stadtbibliothek/maxfeld.html,Dienstagnachmittag 15:00 – 16:00 Uhr  -  kostenlos,Tuesday afternoon 3 to 4 p.m. – free of charge,16
,Dokumentationszentrum Reichsparteitagsgelände,Bayernstr.,110,90478,Nürnberg,49.4339695,11.1126843,0911/2317538,https://www.nuernberg.de/global/ajax_kontaktformular.html?cfid=24500,https://www.museen.nuernberg.de/dokuzentrum,"Eintritt 1,50 €",Admission €1.50,12
,Erfahrungsfeld zur Entfaltung der Sinne,Emilienstraße,5,90489,Nürnberg,49.4536868,11.0882866,0911/2313165,,https://www.nuernberg.de/internet/kuf_kultur/erfahrungsfeld_wirueberuns.html,50% Ermäßigung auf die Einzelpreise,50% discount on individual prices,12
,Evang. Familien-Bildungsstätte Nbg,Leonhardstr.,13,90443,Nürnberg,49.4454747,11.0633295,0911/2747660,info@fbs-nuernberg.de,https://www.fbs-nuernberg.de/,Ca. 30 % Ermäßigung auf die Kursgebühren,Approx. 30% discount on course fees,9
,"Evangelische Fachstelle Alleinerziehende, Haus eckstein",Burgstr.,1-3,90403,Nürnberg,49.4558872,11.077051,0911/2142102,alleinerziehende.nuernberg@elkb.de,https://www.alleinerziehende-nuernberg.de/,Ermäßigung auf Veranstaltungen,Discount on events,9
,Evangelische Stadtakademie Nürnberg,Burgstr.,1-3,90403,Nürnberg,49.4558872,11.077051,0911/2142121,stadtakademie.nuernberg@elkb.de,https://www.evangelische-stadtakademie-nuernberg.de/startseite.html,Ermäßigung auf Veranstaltungen,Discount on events,9
