region,plz
9576111,91183
9273111,93326
9577111,91720
9675111,97355
9276111,94250
9176111,85111
9572111,91325
9571111,91587
9179111,82276
9772111,86477
9771111,86559
9274111,84166
9771112,86444
9274112,84168
9278112,94345
9271111,94527
9473112,96482
9472111,95491
9771113,86551
9275111,94529
9774166,86479
9275112,94501
9674111,97491
9273113,84089
9771114,86447
9172111,83404
9773111,89344
9278113,94330
9777111,87648
9187186,83544
9675112,97320
9275114,94501
9779111,86733
9577113,91793
9774111,86480
9574111,91236
9576113,90584
9178113,85391
9179113,82239
9772114,86695
9274113,84032
9574112,90518
9375113,93087
9676111,97901
9376112,92540
9471111,96146
9478111,96264
9189111,83352
9772115,86450
9190111,86972
9775111,89281
9374111,92665
9375114,93177
9679165,97237
9274114,84169
9179114,82278
9176112,93336
9174111,85250
9171111,84503
9780112,87452
9671111,63755
9361000,92224
9778111,86854
9187113,83123
9779112,86735
9573111,90614
9371111,92260
9676112,63916
9183112,84539
9188117,82346
9172112,83454
9561000,91522
9190113,82387
9175111,85646
9181111,86974
9778113,87742
9571113,91722
9185113,86561
9276113,93471
9372112,93473
9677114,97450
9277111,94424
9372113,93474
9479112,95659
9779115,86663
9278116,94347
9661000,63739
9661000,63741
9661000,63743
9183113,84544
9187114,83229
9184112,85609
9175112,85617
9273115,84091
9178115,85395
9278117,94348
9679114,97239
9673113,97633
9271113,94530
9371113,91275
9375115,93089
9472115,91347
9761000,86150
9761000,86152
9761000,86153
9761000,86154
9761000,86156
9761000,86157
9761000,86159
9761000,86161
9761000,86163
9761000,86165
9761000,86167
9761000,86169
9761000,86179
9761000,86199
9779117,86736
9178116,84072
9672111,97717
9571114,91589
9572114,91086
9677116,97773
9271114,94532
9184137,85653
9772117,86482
9771176,86674
9186113,85107
9778115,87727
9187116,83547
9375116,93090
9773112,89429
9773113,89431
9273116,93077
9187117,83043
9479111,95680
9180113,82435
9472116,95460
9277113,84364
9672112,97708
9672113,97769
9187128,83093
9187129,83075
9275116,94072
9275124,94086
9778144,87730
9173111,83670
9780123,87541
9672114,97688
9180112,82433
9673141,97631
9372137,93444
9377142,95698
9673114,97616
9172114,83435
9473158,96476
9478165,96231
9475112,95138
9173112,83646
9182111,83707
9575112,91438
9778116,86825
9274118,84171
9184113,82065
9175113,85625
9572115,91083
9777114,87650
9780113,87538
9774115,86483
9461000,96047
9461000,96049
9461000,96050
9461000,96052
9375117,93092
9377112,95671
9673116,97654
9575113,91460
9471115,96148
9277112,94137
9274119,84092
9276115,94252
9172115,83457
9462000,95444
9462000,95445
9462000,95447
9462000,95448
9182112,83735
9571115,91572
9374170,92699
9176114,92339
9775115,89287
9173113,83671
9778118,87734
9375118,93176
9373112,92334
9172116,83471
9188113,82335
9475113,95180
9373113,92348
9189113,83346
9577115,91790
9185118,86673
9185116,86562
9174113,85232
9177112,85459
9678115,97493
9679117,97241
9187118,83233
9190114,86975
9373114,92361
9375119,93170
9271116,94505
9190115,82347
9671112,63856
9472118,91282
9780114,87488
9275117,94501
9772121,86485
9774119,89346
9273119,93354
9173115,83673
9777118,87651
9675113,97318
9679118,97243
9777112,87640
9472119,95463
9773116,86637
9371116,92262
9677119,97834
9471117,96120
9677120,97836
9677120,97852
9472121,95493
9673117,97653
9276116,94253
9172117,83483
9773117,86657
9372115,93476
9780115,87544
9671113,63825
9773119,89434
9190117,82389
9772125,86399
9276118,94255
9177113,85461
9274120,84155
9276117,94249
9376116,92439
9776111,88131
9278118,94327
9778119,87736
9176116,85113
9780116,87538
9772126,86486
9778120,87737
9377113,95682
9187120,83098
9674118,96151
9187121,83254
9275118,94139
9778121,87739
9373115,92363
9471119,96149
9774117,86488
9375120,93179
9175114,85567
9274194,84079
9571122,91590
9376117,92436
9187122,83052
9375122,93164
9185123,86564
9184114,85649
9572119,91088
9774118,89347
9775118,89290
9177114,85656
9274121,84172
9571125,91592
9183114,84428
9675114,97320
9779126,86675
9576117,91186
9780117,87474
9271118,94533
9275119,94124
9777121,86807
9572120,91054
9674120,97494
9774121,89331
9780118,87545
9575115,91593
9471120,96138
9190118,86977
9575116,96152
9171112,84489
9185125,86666
9171113,84508
9478116,96224
9673186,97724
9376119,93133
9571127,91595
9674121,97496
9577120,91790
9677122,97775
9676116,63927
9574117,90559
9471122,96154
9571128,91596
9672117,97705
9774122,89349
9471123,96155
9773122,86647
9679122,97244
9778123,87740
9176118,85114
9573114,90556
9675116,97355
9372116,93413
9372117,93466
9189114,83339
9187123,83209
9187123,83256
9463000,96450
9676117,97896
9676117,97903
9571130,91598
9472127,95473
9174115,85221
9575117,91462
9779129,86653
9671160,63874
9771122,86453
9271119,94469
9373119,92364
9779130,86738
9774124,86489
9176120,85095
9181113,86920
9571132,91599
9675117,97337
9375127,93180
9571134,91583
9772130,86420
9575118,91456
9181114,86911
9571135,90599
9277114,84378
9575119,91463
9376122,92542
9373121,92345
9780119,87463
9173118,83623
9773125,89407
9279112,84130
9678122,97497
9571136,91550
9772131,86424
9778127,87742
9778127,87782
9678123,97456
9577122,91723
9475120,95182
9176121,91795
9571137,91601
9375130,93093
9779131,86609
9678124,97499
9177115,84405
9473120,96487
9676118,97904
9474119,91077
9276120,94256
9375131,93182
9375131,93195
9780120,87471
9774127,89350
9571139,91602
9674129,97500
9478120,96250
9190120,82390
9371118,92263
9474121,91320
9674130,96106
9175115,85560
9473121,96237
9774129,86491
9377115,95683
9471128,96157
9178120,85386
9274124,84174
9181115,82279
9572121,90542
9472131,95488
9371119,92265
9779136,86739
9187124,83533
9474122,91090
9179117,82281
9778130,87743
9277116,84307
9777124,87653
9277117,84385
9183115,84546
9474123,91330
9187125,83125
9275120,94535
9190121,82436
9173120,82544
9181116,86492
9474124,91349
9175116,85658
9176122,85116
9185127,86676
9772134,86678
9571141,91725
9779138,86741
9679124,97246
9179118,82223
9676119,63928
9676119,74731
9676119,97896
9279113,94428
9176123,85072
9187126,83549
9777125,87637
9679167,97247
9679126,97249
9176124,85117
9177116,85462
9775139,89081
9775139,89275
9672121,97725
9772136,86679
9577125,91792
9774133,89352
9273163,84094
9676121,63820
9674133,97483
9772137,86494
9175136,83550
9179119,82275
9171114,84547
9575121,91448
9472133,95517
9189115,84549
9574120,91238
9371120,92266
9272116,94536
9778134,87745
9377116,92681
9177117,85435
9174118,85253
9181118,86922
9181118,86926
9181118,86941
9575122,91465
9274126,84030
9274127,84061
9183116,84513
9277118,94140
9778136,87746
9679128,97250
9562000,91052
9562000,91054
9562000,91056
9562000,91058
9171115,84567
9676122,63906
9677125,97837
9674223,96126
9186116,85119
9676123,63863
9374117,92676
9180114,82438
9372124,93458
9374118,92693
9677126,97839
9274128,84051
9273121,93343
9679130,97230
9180115,82488
9577127,91796
9778137,86833
9371140,92268
9374119,92694
9678128,97502
9672122,97717
9771129,86495
9173123,82547
9677127,97776
9178123,85777
9277119,84326
9377117,95685
9278120,94350
9372125,93167
9180116,82490
9676124,97906
9171116,84550
9475123,95183
9188118,82340
9278121,94351
9184118,85622
9187130,83620
9677128,97778
9778139,87748
9376125,92269
9574123,90537
9571145,91555
9472138,95686
9181120,86923
9773150,89435
9177118,85464
9772141,86850
9182114,83730
9780121,87538
9571146,91604
9673123,97650
9187131,83126
9374121,92685
9374122,92696
9474126,91301
9779146,86735
9177119,85659
9175118,85661
9677129,97833
9678130,97447
9187132,83112
9276121,94258
9175119,83553
9177120,85447
9371121,92271
9172118,83395
9178124,85354
9178124,85356
9779147,86742
9471131,96158
9371122,92272
9373126,92342
9272118,94078
9679131,97252
9189118,83413
9771130,86316
9377118,95688
9777128,87654
9279115,84160
9377119,95689
9672124,97727
9181121,86925
9779148,86681
9272119,94142
9179121,82256
9275121,94538
9275122,94081
9274132,84095
9563000,90762
9563000,90763
9563000,90765
9563000,90766
9563000,90768
9372126,93437
9777129,87629
9772145,86456
9185131,86565
9674139,97503
9176126,85080
9173124,83674
9575124,91605
9178125,85408
9277121,84140
9171117,84518
9184119,85748
9180117,82467
9180117,82475
9183118,83536
9183118,83546
9183118,83555
9183118,83559
9475127,95185
9679134,97253
9188120,82131
9371123,92274
9571152,91607
9472139,95482
9276122,94244
9671119,63826
9278123,94333
9675127,96160
9186122,85290
9274134,84144
9679135,97255
9678132,97505
9181122,82269
9677131,97737
9779149,86682
9374123,92697
9576121,91166
9471133,96161
9277122,84552
9679136,97218
9173126,82538
9575125,91466
9777130,87656
9179123,82110
9672126,97779
9475128,95179
9679137,97256
9571154,91726
9186125,85302
9678134,97447
9772147,86368
9274135,84175
9472140,95494
9571155,91608
9772148,86459
9776112,88167
9679138,97232
9188121,82205
9472141,95496
9671120,63864
9376131,92723
9372128,93477
9175121,85625
9773133,89353
9182116,83703
9577133,91728
9678135,97469
9671121,63773
9472143,95497
9575127,97258
9777131,87657
9677132,97780
9474129,91327
9276123,94239
9279116,84177
9772149,86836
9189119,83355
9184120,82166
9272120,94481
9474132,91322
9677133,97782
9477117,95356
9678136,97506
9372130,93479
9374124,92655
9175122,85567
9271122,94539
9179125,82284
9180118,82491
9272121,94143
9184121,85630
9189120,83224
9271123,94541
9576122,91171
9181123,86926
9173127,83677
9572126,91350
9678138,97508
9679141,97259
9187134,83556
9179126,82194
9772151,86845
9673126,97633
9673127,97633
9572127,91091
9573115,90613
9473132,96269
9676125,63920
9187137,83109
9675131,97320
9176129,85098
9671122,63762
9676126,63868
9180119,82439
9473134,96271
9776113,88167
9184122,82031
9187138,83257
9773136,89423
9471137,96163
9774136,89355
9679142,97261
9777138,87634
9774135,89312
9577136,91710
9376133,92543
9575128,91468
9477118,95358
9472146,95473
9178129,85410
9183119,83527
9184123,85540
9275125,94501
9275125,94542
9190126,82392
9677135,97840
9375143,93095
9575129,91469
9371126,92256
9671124,63808
9278129,94353
9272122,94145
9174121,85778
9171118,84533
9779154,86744
9777173,87642
9780122,87490
9774140,89356
9187139,83128
9178130,85399
9474133,91352
9471140,96103
9171119,84553
9672127,97762
9574128,91230
9779155,86655
